,Year,Player,Tm,Age,Pos,college
9761,1989.0,Jay Vincent,SAS,29.0,SF,Michigan State University
9762,1989.0,Sam Vincent,CHI,25.0,PG,Michigan State University
9763,1989.0,Darrell Walker,WSB,27.0,PG,University of Arkansas
9764,1989.0,Kenny Walker,NYK,24.0,SF,University of Kentucky
9765,1989.0,Pearl Washington,MIA,25.0,PG,Syracuse University
9766,1989.0,Spud Webb,ATL,25.0,PG,North Carolina State University
9767,1989.0,Chris Welp,PHI,25.0,C,University of Washington
9768,1989.0,Bill Wennington,DAL,25.0,C,St. John's University
9769,1989.0,Mark West,PHO,28.0,C,Old Dominion University
9770,1989.0,Ennis Whatley,LAC,26.0,PG,University of Alabama
9771,1989.0,Clinton Wheeler,TOT,29.0,PG,William Paterson University
9772,1989.0,Clinton Wheeler,MIA,29.0,PG,William Paterson University
9773,1989.0,Clinton Wheeler,POR,29.0,PG,William Paterson University
9774,1989.0,Eric White,TOT,23.0,SF,Pepperdine University
9775,1989.0,Eric White,UTA,23.0,SF,Pepperdine University
9776,1989.0,Eric White,LAC,23.0,SF,Pepperdine University
9777,1989.0,Jerome Whitehead,TOT,32.0,C,Marquette University
9778,1989.0,Jerome Whitehead,GSW,32.0,C,Marquette University
9779,1989.0,Jerome Whitehead,SAS,32.0,C,Marquette University
9780,1989.0,Morlon Wiley,DAL,22.0,PG,"California State University, Long Beach"
9781,1989.0,Dominique Wilkins*,ATL,29.0,SF,
9782,1989.0,Eddie Lee,NYK,26.0,C,
9783,1989.0,Gerald Wilkins,NYK,25.0,SG,University of Tennessee at Chattanooga
9784,1989.0,Buck Williams,NJN,28.0,PF,University of Maryland
9785,1989.0,Herb Williams,TOT,30.0,C,Ohio State University
9786,1989.0,Herb Williams,IND,30.0,C,Ohio State University
9787,1989.0,Herb Williams,DAL,30.0,C,Ohio State University
9788,1989.0,Hot Rod,CLE,26.0,PF,
9789,1989.0,John Williams,WSB,22.0,SF,Louisiana State University
9790,1989.0,Kevin Williams,TOT,27.0,SG,St. John's University
9791,1989.0,Kevin Williams,NJN,27.0,SG,St. John's University
9792,1989.0,Kevin Williams,LAC,27.0,SG,St. John's University
9793,1989.0,Micheal Williams,DET,22.0,PG,Baylor University
9794,1989.0,Reggie Williams,LAC,24.0,SF,Georgetown University
9795,1989.0,Reggie Williams,LAC,24.0,SF,Virginia Military Institute
9796,1989.0,David Wingate,PHI,25.0,SG,Georgetown University
9797,1989.0,Randy Wittman,TOT,29.0,SF,Indiana University
9798,1989.0,Randy Wittman,SAC,29.0,SF,Indiana University
9799,1989.0,Randy Wittman,IND,29.0,SF,Indiana University
9800,1989.0,Joe Wolf,LAC,24.0,C,University of North Carolina
9801,1989.0,David Wood,CHI,24.0,PF,"University of Nevada, Reno"
9802,1989.0,Mike Woodson,HOU,30.0,SG,Indiana University
9803,1989.0,Orlando Woolridge,LAL,29.0,SF,University of Notre Dame
9804,1989.0,James Worthy*,LAL,27.0,SF,
9805,1989.0,Danny Young,POR,26.0,PG,Wake Forest University
9806,,,,,,
9807,1990.0,Mark Acres,ORL,27.0,C,Oral Roberts University
9808,1990.0,Michael Adams,DEN,27.0,PG,Boston College
9809,1990.0,Mark Aguirre,DET,30.0,SF,DePaul University
9810,1990.0,Danny Ainge,SAC,30.0,PG,Brigham Young University
